t [s]	Ux [V]	Uy [V]
11,729146	-1,361154	0,006354
11,752267	-1,35733	0,006354
11,762267	-1,353506	0,006354
11,772267	-1,350957	0,005078
11,782267	-1,350957	0,002526
11,792267	-1,347134	0,010181
11,802267	-1,342035	0,006354
11,812267	-1,330565	0,006354
11,822267	-1,321643	0,002526
11,832267	-1,307623	0,006354
11,842267	-1,294877	0,006354
11,858041	-1,270661	0,003802
11,868041	-1,260465	0,00763
11,878041	-1,233699	0,006354
11,888041	-1,219679	0,006354
11,898041	-1,18909	0,006354
11,908041	-1,169972	0,006354
11,918041	-1,145755	0,010181
11,928041	-1,130461	0,003802
11,938041	-1,110068	0,006354
11,948041	-1,07693	0,010181
11,964246	-1,029772	0,008906
11,974246	-1,000457	0,003802
11,984246	-0,972417	0,008906
11,994246	-0,941828	0,002526
12,004246	-0,902317	0,006354
12,014246	-0,869179	0,006354
12,024246	-0,839864	0,006354
12,034246	-0,79653	0,00763
12,044246	-0,765941	0,002526
12,054246	-0,731528	0,00763
12,076817	-0,649957	0,006354
12,086817	-0,612995	0,006354
12,096817	-0,570935	0,008906
12,106817	-0,53015	0,003802
12,116817	-0,490639	0,006354
12,126817	-0,443481	0,003802
12,136817	-0,397597	0,010181
12,146817	-0,36191	0,006354
12,156817	-0,308379	0,006354
12,166817	-0,267593	0,00763
12,188955	-0,156708	0,006354
12,198955	-0,099353	0,002526
12,208955	-0,050921	0,006354
12,218955	0,010258	0,006354
12,228955	0,067612	0,005078
12,238955	0,119869	0,002526
12,248955	0,182321	0,008906
12,258955	0,239676	0,006354
12,268955	0,300854	0,002526
12,278955	0,360758	0,008906
12,307619	0,539194	0,008906
12,317619	0,600372	0,006354
12,327619	0,656452	0,006354
12,337619	0,729101	0,008906
12,347619	0,783907	0,006354
12,357619	0,839987	0,002526
12,367619	0,903714	0,005078
12,377619	0,968716	0,008906
12,387619	1,032443	0,006354
12,397619	1,085974	0,006354
12,414538	1,194311	0,002526
12,424538	1,260587	0,008906
12,434538	1,320491	0,008906
12,444538	1,381669	0,003802
12,454538	1,44922	0,008906
12,464538	1,516771	0,006354
12,474538	1,577949	0,003802
12,484538	1,650598	0,006354
12,494538	1,718149	0,008906
12,504538	1,784425	0,006354
12,528106	1,937371	0,008906
12,538106	1,998549	0,002526
12,548106	2,069924	0,006354
12,558106	2,131102	0,006354
12,568106	2,188456	0,002526
12,578106	2,252184	0,002526
12,588106	2,319735	0,010181
12,598106	2,378364	0,008906
12,608106	2,435718	0,005078
12,618106	2,503269	0,00763
12,641355	2,638371	0,002526
12,651355	2,705922	0,003802
12,661355	2,763277	0,006354
12,671355	2,820631	0,006354
12,681355	2,884358	0,006354
12,691355	2,940438	0,002526
12,701355	3,000342	0,008906
12,711355	3,052598	0,002526
12,721355	3,115051	0,010181
12,731355	3,174955	0,008906
12,750419	3,288389	0,005078
12,760419	3,343195	0,006354
12,770419	3,409471	0,006354
12,780419	3,460453	0,006354
12,790419	3,521631	0,003802
12,800419	3,582809	0,008906
12,810419	3,641439	0,006354
12,820419	3,703891	0,006354
12,830419	3,76252	0,002526
12,840419	3,819875	0,005078
12,863178	3,948604	0,002526
12,873178	4,008508	0,006354
12,883178	4,067137	0,010181
12,893178	4,11557	0,002526
12,903178	4,174199	0,006354
12,913178	4,231553	0,008906
12,923178	4,281261	0,006354
12,933178	4,330968	0,00763
12,943178	4,388322	0,006354
12,953178	4,436755	0,003802
12,969143	4,506855	0,002526
12,979143	4,557837	0,008906
12,989143	4,610093	0,006354
12,999143	4,652153	0,005078
